sailboat_id,latitude,longitude,compass_heading,tilt
Sailboat-1,41.786025,-71.397940,353.8,4.26
Sailboat-2,41.785444,-71.387927,294.3,4.59
Sailboat-3,41.770813,-71.398454,67.8,2.20
Sailboat-4,41.769269,-71.392690,27.5,-3.13
Sailboat-5,41.773716,-71.382014,1.7,-4.21
Sailboat-1,41.786026,-71.397977,354.4,4.51
Sailboat-2,41.785429,-71.387919,296.1,4.24
Sailboat-3,41.770851,-71.398407,67.5,1.76
Sailboat-4,41.769307,-71.392688,28.8,-2.98
Sailboat-5,41.773705,-71.381985,2.6,-3.66
Sailboat-1,41.786062,-71.397931,355.2,4.53
Sailboat-2,41.785392,-71.387889,297.8,3.96
Sailboat-3,41.770810,-71.398397,68.2,1.37
Sailboat-4,41.769342,-71.392701,29.9,-3.17
Sailboat-5,41.773705,-71.381962,3.3,-3.27
Sailboat-1,41.786095,-71.397968,354.8,4.49
Sailboat-2,41.785415,-71.387879,299.6,4.16
Sailboat-3,41.770829,-71.398428,69.1,1.15
Sailboat-4,41.769339,-71.392701,31.9,-2.82
Sailboat-5,41.773753,-71.381927,2.7,-3.34
Sailboat-1,41.786099,-71.397946,353.2,3.88
Sailboat-2,41.785422,-71.387919,300.0,4.03
Sailboat-3,41.770819,-71.398477,69.2,1.39
Sailboat-4,41.769356,-71.392717,31.3,-3.05
Sailboat-5,41.773711,-71.381895,1.3,-2.76
Sailboat-1,41.786140,-71.397901,352.7,3.58
Sailboat-2,41.785413,-71.387906,299.1,4.01
Sailboat-3,41.770796,-71.398501,68.4,1.75
Sailboat-4,41.769397,-71.392734,31.0,-3.14
Sailboat-5,41.773759,-71.381896,2.3,-3.06
Sailboat-1,41.786176,-71.397933,351.5,3.57
Sailboat-2,41.785399,-71.387912,298.7,4.02
Sailboat-3,41.770763,-71.398538,67.8,1.50
Sailboat-4,41.769395,-71.392703,29.6,-2.81
Sailboat-5,41.773786,-71.381872,0.9,-2.57
Sailboat-1,41.786209,-71.397972,352.7,3.34
Sailboat-2,41.785373,-71.387907,297.6,3.52
Sailboat-3,41.770732,-71.398544,66.8,1.53
Sailboat-4,41.769421,-71.392691,27.8,-2.63
Sailboat-5,41.773818,-71.381874,0.5,-2.72
Sailboat-1,41.786201,-71.398013,350.9,2.70
Sailboat-2,41.785421,-71.387882,299.5,3.23
Sailboat-3,41.770689,-71.398509,67.7,1.07
Sailboat-4,41.769394,-71.392713,29.0,-2.03
Sailboat-5,41.773790,-71.381912,358.8,-2.14
Sailboat-1,41.786159,-71.398063,350.3,2.62
Sailboat-2,41.785416,-71.387849,298.7,3.19
Sailboat-3,41.770676,-71.398511,67.2,1.48
Sailboat-4,41.769378,-71.392712,30.2,-1.99
Sailboat-5,41.773758,-71.381908,358.5,-1.96
Sailboat-1,41.786153,-71.398065,349.5,2.76
Sailboat-2,41.785379,-71.387837,297.1,3.04
Sailboat-3,41.770678,-71.398531,68.8,1.04
Sailboat-4,41.769358,-71.392692,28.7,-2.00
Sailboat-5,41.773741,-71.381880,358.5,-2.12
Sailboat-1,41.786137,-71.398081,350.8,2.63
Sailboat-2,41.785371,-71.387789,297.3,3.09
Sailboat-3,41.770628,-71.398489,68.1,0.93
Sailboat-4,41.769386,-71.392671,30.7,-1.95
Sailboat-5,41.773775,-71.381888,359.3,-2.26
Sailboat-1,41.786125,-71.398064,352.8,2.19
Sailboat-2,41.785395,-71.387777,299.2,2.73
Sailboat-3,41.770664,-71.398452,67.6,0.83
Sailboat-4,41.769390,-71.392688,28.9,-1.56
Sailboat-5,41.773802,-71.381928,360.0,-2.23
Sailboat-1,41.786091,-71.398018,353.2,2.38
Sailboat-2,41.785386,-71.387819,299.9,2.90
Sailboat-3,41.770653,-71.398431,67.1,1.25
Sailboat-4,41.769386,-71.392709,28.1,-1.32
Sailboat-5,41.773795,-71.381966,0.9,-2.50
Sailboat-1,41.786133,-71.398055,353.2,2.21
Sailboat-2,41.785421,-71.387831,298.2,3.12
Sailboat-3,41.770685,-71.398475,65.7,1.31
Sailboat-4,41.769403,-71.392742,26.7,-0.83
Sailboat-5,41.773771,-71.381922,0.7,-2.71
Sailboat-1,41.786120,-71.398034,352.0,1.63
Sailboat-2,41.785394,-71.387839,298.1,3.16
Sailboat-3,41.770686,-71.398442,66.8,1.39
Sailboat-4,41.769360,-71.392731,26.1,-0.76
Sailboat-5,41.773745,-71.381894,358.8,-2.39
Sailboat-1,41.786114,-71.397984,354.0,1.23
Sailboat-2,41.785390,-71.387857,297.0,3.43
Sailboat-3,41.770674,-71.398413,66.6,1.77
Sailboat-4,41.769372,-71.392707,24.9,-0.61
Sailboat-5,41.773786,-71.381884,357.0,-2.43
Sailboat-1,41.786117,-71.398014,352.1,1.25
Sailboat-2,41.785348,-71.387810,295.7,3.15
Sailboat-3,41.770675,-71.398407,67.5,1.82
Sailboat-4,41.769383,-71.392729,25.5,-0.80
Sailboat-5,41.773747,-71.381930,358.7,-2.72
Sailboat-1,41.786115,-71.398055,351.5,1.24
Sailboat-2,41.785373,-71.387772,297.2,3.21
Sailboat-3,41.770686,-71.398368,67.4,2.01
Sailboat-4,41.769420,-71.392698,27.3,-0.80
Sailboat-5,41.773737,-71.381908,359.8,-2.59
Sailboat-1,41.786140,-71.398089,350.8,1.08
Sailboat-2,41.785367,-71.387806,297.5,3.47
Sailboat-3,41.770701,-71.398323,67.1,1.47
Sailboat-4,41.769392,-71.392685,26.6,-0.84
Sailboat-5,41.773764,-71.381898,0.4,-2.28
Sailboat-1,41.786155,-71.398092,350.8,1.14
Sailboat-2,41.785348,-71.387818,296.2,3.68
Sailboat-3,41.770682,-71.398372,65.8,1.47
Sailboat-4,41.769387,-71.392675,24.8,-0.85
